x-axis,1,2
second,Volt,Volt
+53.200000E-03,+4.498115614E+00,-142.007E-06
+53.201532E-03,+4.498115614E+00,-6.172159E-03
+53.203064E-03,+4.305149150E+00,-17.991304E-03
+53.204596E-03,+4.683043581E+00,-18.473618E-03
+53.206127E-03,+4.313187583E+00,-14.614287E-03
+53.207659E-03,+4.490077148E+00,-8.664521E-03
+53.209191E-03,+4.498115614E+00,+3.154629E-03
+53.210723E-03,+4.305148989E+00,+15.214932E-03
+53.212255E-03,+4.490077245E+00,+19.556569E-03
+53.213787E-03,+4.498115614E+00,+17.787670E-03
+53.215319E-03,+4.498115614E+00,+6.129283E-03
+53.216850E-03,+4.305148860E+00,+3.717318E-03
+53.218382E-03,+4.490077374E+00,-2.152069E-03
+53.219914E-03,+4.498115614E+00,-463.548E-06
+53.221446E-03,+4.498115614E+00,-4.242503E-03
+53.222978E-03,+4.498115614E+00,-4.403266E-03
+53.224510E-03,+4.498115614E+00,-4.403266E-03
+53.226042E-03,+4.305148667E+00,-4.403266E-03
+53.227574E-03,+4.297110587E+00,+1.385743E-03
+53.229105E-03,+4.490077599E+00,+1.626885E-03
+53.230637E-03,+4.305148571E+00,+1.626885E-03
+53.232169E-03,+4.297110587E+00,-6.091798E-03
+53.233701E-03,+4.490077695E+00,-8.342987E-03
+53.235233E-03,+4.498115614E+00,-10.353038E-03
+53.236765E-03,+4.498115614E+00,-6.574073E-03
+53.238297E-03,+4.691082818E+00,-4.483644E-03
+53.239828E-03,+4.506153404E+00,+1.385751E-03
+53.241360E-03,+4.498115614E+00,+1.626885E-03
+53.242892E-03,+4.498115614E+00,+9.345576E-03
+53.244424E-03,+4.498115614E+00,+13.526432E-03
+53.245956E-03,+4.691082979E+00,+11.757512E-03
+53.247488E-03,+4.506153244E+00,+7.817788E-03
+53.249020E-03,+4.498115614E+00,-61.662E-06
+53.250551E-03,+4.305148153E+00,-6.172189E-03
+53.252083E-03,+4.490078081E+00,-16.061691E-03
+53.253615E-03,+4.498115614E+00,-18.393243E-03
+53.255147E-03,+4.498115614E+00,-14.614267E-03
+53.256679E-03,+4.691083204E+00,-14.453517E-03
+53.258211E-03,+4.506153018E+00,+2.913568E-03
+53.259743E-03,+4.498115614E+00,+3.636935E-03
+53.261275E-03,+4.305147927E+00,+7.496288E-03
+53.262806E-03,+4.297110587E+00,+9.586712E-03
+53.264338E-03,+4.297110587E+00,+5.807731E-03
+53.265870E-03,+4.490078370E+00,-4.001404E-03
+53.267402E-03,+4.498115614E+00,-12.121979E-03
